Player ID,Name,First Name,Last Name,Team,Position,Secondary Position,Status,Draft Rank,Games Played,Starts,Tries Scored,Try Assists,Line Breaks,Line Break Assists,Defenders Beaten,Metres Gained,Offloads,Tackles Made,Tackles Missed,Turnovers Forced,Interceptions,50:22s,Penalties Conceded,Errors,Lineouts Won,Lineout Steals,Lineout Errors,Scrums Won,Conversions,Conversions Missed,Penalty Goals,Penalty Goals Missed,Drop Goals,Drop Goals Missed,Yellow Cards,Red Cards
H.Sotutu,H. Sotutu,Hoskins,Sotutu,BLU,LF,,Starting,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.Loganimasi,P. Loganimasi,Ponipate,Loganimasi,DRU,OB,,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.McNicholl,J. McNicholl,Johnny,McNicholl,CRU,OB,,Hamstring - 3 weeks,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Taylor,C. Taylor,Codie,Taylor,CRU,HO,,Benched,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.Havili,W. Havili,William,Havili,MOP,OB,FH,Starting,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.Daugunu,F. Daugunu,Filipo,Daugunu,RED,OB,CE,Out,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Pollard,B. Pollard,Billy,Pollard,BRU,HO,,Starting,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.McReight,F. McReight,Fraser,McReight,RED,LF,,Starting,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Lio-Willie,C. Lio-Willie,Christian,Lio-Willie,CRU,LF,,Starting,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Dolly,N. Dolly,Nic,Dolly,FOR,HO,,Knee - Short Term,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.Sititi,W. Sititi,Wallace,Sititi,CHI,LF,,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Fainga'anuku,L. Fainga'anuku,Leicester,Fainga'anuku,CRU,CE,OB,Starting,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.McDermott,T. McDermott,Tate,McDermott,RED,HB,,Out,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Flook,J. Flook,Josh,Flook,RED,CE,OB,Starting,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
